NOMBRE,TIPO_AERODROMO,CODIGO_OACI,ESTADO,ADMINISTRADOR,LATITUD,LONGITUD,ESCALA,JERARQUIA,TITULARIDAD,DEPARTAMENTO,PROVINCIA,DISTRITO
YURIMAGUAS - MOISÉS BENZAQUÉN RENGIFO,Aeropuerto,SPMS,Operativo,CORPAC S.A.,-5.893611,-76.118056,Regional,Nacional,Pública,LORETO,ALTO AMAZONAS,YURIMAGUAS
METROPOLITANO DE PIURA,Aeródromo,SPAL,Operativo,AEROCLUB DE AVIACIÓN CIVIL DEL PERÚ,-5.067777778,-80.14748889,Sin escala definida,Sin jerarquía definida,Privada,PIURA,MORROPÓN,CHULUCANAS
HP-7,Helipuerto,SPNE,Operativo,REPSOL EXPLORACIÓN PERÚ S.A. SUCURSAL DEL PERÚ,-11.55194444,-73.14694444,Sin escala definida,Sin jerarquía definida,Privada,CUSCO,LA CONVENCIÓN,ECHARATE
CLÍNICA DELGADO,Helipuerto,SPCD,Operativo,MEDIC SER S.A.C.,-12.11354167,-77.03319167,Sin escala definida,Sin jerarquía definida,Privada,LIMA,LIMA,MIRAFLORES
LUISIANA,Aeródromo,SPLU,Operativo,SR. GUILLERMO PARODI MORALES,-12.67497222,-73.70955556,Sin escala definida,Sin jerarquía definida,Privada,AYACUCHO,LA MAR,SANTA ROSA
BANCO DE LA NACIÓN,Helipuerto,SPBN,Operativo,BANCO DE LA NACIÓN,-12.08718611,-77.000675,Sin escala definida,Sin jerarquía definida,Privada,LIMA,Lima,San Borja
CASHIBOCOCHA,Aeródromo,SPCB,Operativo,SOUTH AMÉRICA MISSION INC. FILIAL DEL PERÚ,-8.361944444,-74.65680556,Sin escala definida,Sin jerarquía definida,Privada,UCAYALI,CORONEL PORTILLO,YARINACOCHA
SAGARI AX,Helipuerto,SPSG,Operativo,REPSOL EXPLORACIÓN PERÚ S.A. SUCURSAL DEL PERÚ,-11.46402198,-73.31293349,Sin escala definida,Sin jerarquía definida,Privada,CUSCO,LA CONVENCIÓN,ECHARATE
CASHIRIARI 1,Helipuerto,SPCA,Operativo,PLUSPETROL PERÚ CORPORATION S.A.,-11.87445,-72.73419167,Sin escala definida,Sin jerarquía definida,Privada,CUSCO,LA CONVENCIÓN,ECHARATE
ADVENTISTA MOP (SPYC),Aeródromo,SPYC,Operativo,ASOCIACIÓN PROYECTOS PERÚ,-8.340427778,-74.59791389,Sin escala definida,Sin jerarquía definida,Privada,UCAYALI,CORONEL PORTILLO,Yarinacocha
HP-7 LAS MALVINAS,Helipuerto,SPWL,Operativo,PLUSPETROL PERÚ CORPORATION S.A.,-11.84822778,-72.93883889,Sin escala definida,Sin jerarquía definida,Privada,CUSCO,LA CONVENCIÓN,ECHARATE
WALTER BRAEDT SEGU,Aeródromo,,Operativo,MANCORALAND S.A.C.,-4.086797222,-81.02558333,Sin escala definida,Sin jerarquía definida,Privada,TUMBES,Contralmirante Villar,Canoas de Punta Sal
CORONEL PNP RODOLFO LEÓN GAVILÁN,Helipuerto,,Operativo,MUNICIPALIDAD DISTRITAL DE MIRAFLORES,-12.11961111,-77.04608889,Sin escala definida,Sin jerarquía definida,Pública,LIMA,Lima,Miraflores
REVALORA,Aeródromo,,Operativo,REVALORA S.A.C.,-13.22304167,-76.26936667,Sin escala definida,Sin jerarquía definida,Privada,LIMA,Cañete,San Vicente de Cañete
VOCES POR EL CLIMA,Helipuerto,,Operativo,HELI-ABAD S.A.C.,-12.15291667,-77.01139167,Sin escala definida,Sin jerarquía definida,Privada,LIMA,Lima,Santiago de Surco
CANTO GRANDE,Helipuerto,,Operativo,HELI-ABAD S.A.C.,-11.95897222,-76.99916944,Sin escala definida,Sin jerarquía definida,Privada,LIMA,Lima,San Juan de Lurigancho
PROYECTO MORE,Helipuerto,,Operativo,INMOBILIARA HUANWIL S.A.,-12.08298611,-76.967425,Sin escala definida,Sin jerarquía definida,Privada,LIMA,Lima,Santiago de Surco
PROYECTO AFE,Helipuerto,,Operativo,AFE SERVICE S.A.C.,-11.82842222,-77.09428611,Sin escala definida,Sin jerarquía definida,Privada,LIMA,Lima,Puente Piedra
MUNICIPAL DE SAN BARTOLO ALM. RAUL VARGAS FULLER,Helipuerto,,Operativo,FLY ACCES PERU S.A.C.,-12.38044444,-76.78372222,Sin escala definida,Sin jerarquía definida,Privada,LIMA,Lima,San Bartolo
BOULEVARD ASIA,Helipuerto,SPBA,Operativo,INVERSIONES CASTELAR S.A.C.,-12.76010556,-76.60331944,Sin escala definida,Sin jerarquía definida,Privada,LIMA,Cañete,Asia
LA CALERA,Helipuerto,,Operativo,HELI-ABAD S.A.C.,-13.4541,-76.02863611,Sin escala definida,Sin jerarquía definida,Privada,ICA,CHINCHA,ALTO LARAN
OLMOS,Aeródromo,,Operativo,INVERSIONES AGRICOLAS OLMOS II S.A.C.,-6.011172222,-80.09151111,Sin escala definida,Sin jerarquía definida,Privada,LAMBAYEQUE,Lambayeque,Olmos
LAS AMERICAS,Aeródromo,,Operativo,JOSÉ LUIS POPOLIZIO BARDALES,-8.317447222,-74.72666111,Sin escala definida,Sin jerarquía definida,Privada,UCAYALI,Coronel Portillo,Yarinacocha
"HOSPITAL MIGUEL ANGEL MARISCAL LLERENA DE AYACUCHO""""",Helipuerto,,Operativo,GOBIERNO REGIONAL DE AYACUCHO,-13.162925,-74.20018889,Sin escala definida,Sin jerarquía definida,Pública,AYACUCHO,Huamanga,Andres Avelino Caceres
DIOSPI SUYANA,Helipuerto,SPDY,Operativo,ASOCIACIÓN CIVIL RELIGIOSA DIOSPI SUYANA,-13.54833333,-72.70972222,Sin escala definida,Sin jerarquía definida,Privada,APURÍMAC,Abancay,Curahuasi
JOCKEY PLAZA SHOPING CENTER,Helipuerto,SPJP,Operativo,ECOCOPTER PERU S.A.,-12.087225,-76.97660278,Sin escala definida,Sin jerarquía definida,Privada,LIMA,LIMA,SANTIAGO DE SURCO
LA PORTADA,Helipuerto,,Operativo,HELI-ABAD S.A.C.,-14.14417778,-75.64589167,Sin escala definida,Sin jerarquía definida,Privada,ICA,ICA,PUEBLO NUEVO
PACASMAYO,Aeródromo,,Operativo,ESCUELA PERUANA DE AVIACIÓN CIVIL S.A.,-7.416425,-79.57021667,Sin escala definida,Sin jerarquía definida,Pública,LA LIBERTAD,PACASMAYO,PACASMAYO
Andahuaylas,Aeropuerto,SPHY,Operativo,CORPAC S.A.,-13.708819,-73.351556,Nacional,Nacional,Pública (Concesionada-No entregada),Apurímac,Andahuaylas,Andahuaylas
Andoas,Aeródromo,SPAS,Operativo,Pacific Stratus Energy del Perú S.A.,-2.796108,-76.466597,Sin escala definida,No aplica a privados,Privada,Loreto,Datem Del Marañón,Andoas
Andoas,Helipuerto de superficie,SPAN,Operativo,Pacific Stratus Energy del Perú S.A.,-2.79999037,-76.458732,Sin escala definida,No aplica a privados,Privada,Loreto,Datem Del Marañón,Andoas
Alfredo Rodríguez Ballon,Aeropuerto Internacional,SPQU,Operativo,Aeropuertos Andinos del Perú S.A.,-16.340611,-71.570792,Internacional,Nacional,Pública (Concesionada),Arequipa,Arequipa,Cayma
Atalaya,Aeródromo,SPAY,Operativo,CORPAC S.A.,-10.728572,-73.765886,Regional,Regional,Pública,Ucayali,Atalaya,Raymondi
Crnl. FAP. Alfredo Mendivil,Aeropuerto,SPHO,Operativo,Aeropuertos Andinos del Perú S.A.,-13.154836,-74.20441667,Nacional,Nacional,Pública (Concesionada),Ayacucho,Huamanga,Andrés Avelino Cáceres
Bellavista,Aeródromo,SPBS,Operativo,Comunidad de Bellavista,-5.28859,-76.2911,Local,Sin jerarquía definida,Pública,Loreto,Alto Amazonas,Jeberos
Breu,Aeródromo,SPBK,Operativo,CORPAC S.A.,-9.533792,-72.757153,Local,Local,Pública,Ucayali,Atalaya,Yurua
Buncuyo,Aeródromo,SPBJ,Operativo,Comunidad de Buncuyo,-6.516667,-74.583333,Local,Sin jerarquía definida,Pública,Loreto,Requena,Tapiche
Caballococha,Aeródromo,SPBC,Operativo,CORPAC S.A.,-3.916833,-70.508181,Regional,Regional,Pública,Loreto,Ramón Castilla,Ramón Castilla
May.Gral.FAP. Armando Revoredo Iglesias,Aeropuerto,SPJR,Operativo,Aeropuertos del Perú S.A.,-7.139144,-78.489581,Nacional,Nacional,Pública (Concesionada),Cajamarca,Cajamarca,Baños del Inca
Cashiriari 3,Helipuerto de superficie,SPCS,Operativo,Pluspetrol Perú Corporation S.A.,-11.88030278,-72.64921111,Sin escala definida,No aplica a privados,Privada,Cusco,La Convención,Echarate
Chachapoyas,Aeropuerto,SPPY,Operativo,Aeropuertos del Perú S.A.,-6.202042,-77.856,Nacional,Nacional,Pública (Concesionada),Amazonas,Chachapoyas,Chachapoyas
Chagual,Aeródromo,SPGL,Operativo,Cia. Minera Poderosa S.A.,-7.797417,-77.651431,Sin escala definida,No aplica a privados,Privada,La Libertad,Pataz,Pataz
Aero Link Chala,Aeródromo,SPAK,Operativo,Aero Link S.A.C.,-15.80724722,-74.28691944,Sin escala definida,No aplica a privados,Privada,Arequipa,Caraveli,Chala
Chao,Aeródromo,SPCY,Operativo,CAMPOSOL S.A.,-8.581763889,-78.68120278,Sin escala definida,No aplica a privados,Privada,La Libertad,Virú,Chao
Cap. FAP. José Abelardo Quiñones Gonzales,Aeropuerto Internacional,SPHI,Operativo,Aeropuertos del Perú S.A.,-6.787478,-79.8281,Internacional,Nacional,Pública (Concesionada),Lambayeque,Chiclayo,Chiclayo
Tnte. FAP. Jaime A. de Montreuil Morales,Aeropuerto,SPEO,Operativo,CORPAC S.A.,-9.149711,-78.523564,Regional,Nacional,Pública,Áncash,Santa,Nuevo Chimbote
Ciro Alegría,Aeródromo,SPAC,Operativo,CORPAC S.A.,-4.607144,-77.940633,Regional,Regional,Pública,Amazonas,Condorcanqui,Nieva
Ciudad Constitución,Aeródromo,SPCC,Operativo,Municipalidad Distrital de Puerto Bermudez,-9.863958,-75.006736,Local,Local,Pública,Pasco,Oxapampa,Puerto Bermúdez
Colonia Angamos,Aeródromo,SPDN,Operativo,Municipalidad Distrital de Yaquerana,-5.137125,-72.867889,Local,Local,Pública,Loreto,Requena,Yaquerana
Contamana,Aeródromo,SPCM,Operativo,Gobierno Regional de Loreto,-7.335806,-74.992556,Local,Local,Pública,Loreto,Ucayali,Contamana
Culina,Aeródromo,SPUI,Operativo,Comunidad de Culina,-9.584486,-70.617764,Sin escala definida,No aplica a privados,Pública,Ucayali,Purús,Purús
Tnte. FAP. Alejandro Velasco Astete,Aeropuerto Internacional,SPZO,Operativo,CORPAC S.A.,-13.535722,-71.938778,Internacional,Nacional,Pública,Cusco,Cusco,San Sebastián
Cutivireni,Aeródromo,SPCV,Operativo,Comunidad Nativa de Cutivireni,-11.877167,-73.916958,Local,Sin jerarquía definida,Pública,Junín,Satipo,Río Tambo
El Estrecho,Aeródromo,SPEE,Operativo,CORPAC S.A.,-2.45389,-72.671,Regional,Regional,Pública,Loreto,Putumayo,Putumayo
El Valor - Estación 7,Helipuerto de superficie,SPEV,Operativo,Petróleos del Perú - Petroperu S.A.,-5.670944,-78.640278,Sin escala definida,No aplica a privados,Privada,Amazonas,Utcubamba,El Milagro
Fernando Rosas - Estación Morona,Helipuerto de superficie,SPMO,Operativo,Petróleos del Perú - Petroperu S.A.,-3.983189,-77.227806,Sin escala definida,No aplica a privados,Privada,Loreto,Datem Del Marañón,Morona
Güeppi,Aeródromo,SPGP,Operativo,CORPAC S.A.,-0.119306,-75.247847,Regional,Regional,Pública,Loreto,Putumayo,Teniente Manuel Clavero
Galilea,Aeródromo,SPGB,Operativo,CORPAC S.A.,-4.0317157,-77.75876639,Regional,Regional,Pública,Amazonas,Condorcanqui,Río Santiago
Helinka,Helipuerto de superficie,SPIK,Operativo,Helinka S.A.C.,-6.515416667,-76.37497222,Sin escala definida,No aplica a privados,Privada,San Martín,San Martín,Tarapoto
Hotel Los Delfines,Helipuerto Elevado,SPKD,Operativo,Cia. Hotelera Los Delfines S.A.,-12.097833,-77.047833,Sin escala definida,No aplica a privados,Privada,Lima,Lima,San Isidro
Hotel Oro Verde,Helipuerto Elevado,SPKO,Operativo,Hotelera Costa del Pacifico S.A.,-12.0975,-77.038056,Sin escala definida,No aplica a privados,Privada,Lima,Lima,San Isidro
Huamachuco,Aeródromo,SPUC,Operativo,Municipalidad Provincial de Sánchez Carrión,-7.818022,-78.029206,Local,Local,Pública,La Libertad,Sánchez Carrión,Huamachuco
Huancabamba,Aeródromo,SPHB,Operativo,Municipalidad Provincial de Huancabamba,-5.2566083,-79.44335556,Regional,Local,Pública,Piura,Huancabamba,Huancabamba
Alf. FAP. David Figueroa Fernandini,Aeropuerto,SPNC,Operativo,CORPAC S.A.,-9.878681,-76.204569,Nacional,Nacional,Pública,Huánuco,Huánuco,Huánuco
Cmdt. FAP. German Arias Graziani,Aeropuerto,SPHZ,Operativo,Aeropuertos del Perú S.A.,-9.347333,-77.598308,Nacional,Nacional,Pública (Concesionada),Áncash,Carhuaz,Anta
Iñapari,Aeródromo,SPIN,Operativo,CORPAC S.A.,-10.980183,-69.559217,Regional,Regional,Pública,Madre De Dios,Tahuamanu,Iñapari
Gral. Jorge F. Maldonado Solari,Aeropuerto,SPLO,Operativo,CORPAC S.A.,-17.695028,-71.343931,Regional,Nacional,Pública,Moquegua,Ilo,Ilo
Interbank,Helipuerto Elevado,SPKE,Operativo,Promotora Intercorp S.A.,-12.089472,-77.022778,Sin escala definida,No aplica a privados,Privada,Lima,Lima,La Victoria
Crnl. FAP. Francisco Secada Vignetta,Aeropuerto Internacional,SPQT,Operativo,Aeropuertos del Perú S.A.,-3.784739,-73.308806,Internacional,Nacional,Pública (Concesionada),Loreto,Maynas,San Juan Bautista
Fernando Belaunde Terry,Aeropuerto,SPJE,Operativo,CORPAC S.A.,-5.592611,-78.774264,Nacional,Nacional,Pública,Cajamarca,Jaén,Bellavista
Francisco Carlé,Aeropuerto,SPJJ,Operativo,CORPAC S.A.,-11.783389,-75.473347,Nacional,Nacional,Pública,Junín,Jauja,Sausa
Jibaro Marshalling,Helipuerto de superficie,SPJM,Operativo,Pacific Stratus Energy del Perú S.A.,-2.706139,-76.028556,Sin escala definida,No aplica a privados,Privada,Loreto,Loreto,Trompeteros
Jorge Chávez,Aeropuerto Internacional,SPJC,Operativo,Lima Airport Partners S.R.L.,-12.021886,-77.114317,Internacional,Nacional,Pública (Concesionada),Lima,Callao,Callao
Juanjui,Aeropuerto,SPJI,Operativo,CORPAC S.A.,-7.168875,-76.728581,Regional,Regional,Pública,San Martín,Mariscal Cáceres,Juanjui
Inca Manco Capac,Aeropuerto Internacional,SPJL,Operativo,Aeropuertos Andinos del Perú S.A.,-15.466856,-70.157883,Internacional,Nacional,Pública (Concesionada),Puno,San Román,Juliaca
Kinteroni,Helipuerto de superficie,SPKR,Operativo,Repsol Exploración Perú S.A. Sucursal del Perú,-11.509667,-73.2515,Sin escala definida,No aplica a privados,Privada,Cusco,La Convención,Echarate
Kiteni,Aeródromo,SPKI,Operativo,Cía. Operadora de Gas del Amazonas S.A.C.,-12.648633,-73.036597,Sin escala definida,No aplica a privados,Privada,Cusco,La Convención,Echarate
La Peruanita N°1,Helipuerto de superficie,SPPU,Operativo,CNPC PERU S.A.,-11.69013889,-73.02194444,Sin escala definida,No aplica a privados,Privada,Cusco,La Convención,Echarate
La Peruanita N°2,Helipuerto de superficie,SPPV,Operativo,CNPC PERU S.A.,-11.689972,-73.021167,Sin escala definida,No aplica a privados,Privada,Cusco,La Convención,Echarate
La Peruanita N°3,Helipuerto de superficie,SPPW,Operativo,CNPC PERU S.A.,-11.69108333,-73.02347222,Sin escala definida,No aplica a privados,Privada,Cusco,La Convención,Echarate
La Vista - Estación 5,Helipuerto de superficie,SPVS,Operativo,Petróleos del Perú - Petroperu S.A.,-4.654417,-77.506361,Sin escala definida,No aplica a privados,Privada,Loreto,Datem Del Marañón,Manseriche
Las Bambas,Helipuerto de superficie,SPLB,Operativo,Minera Las Bambas S.A.,-14.10288333,-72.27625,Sin escala definida,No aplica a privados,Privada,Apurímac,Cotabamba,Challhuahuacho
Las Dunas,Aeródromo,SPLH,Operativo,Empresa Administradora del Aeródromo Las Dunas de Ica S.A.C.,-14.03518056,-75.76028333,Sin escala definida,No aplica a privados,Privada,Ica,Ica,Subtanjalla
Las Malvinas,Aeródromo,SPWT,Operativo,Pluspetrol Perú Corporation S.A.,-11.85494444,-72.93934167,Sin escala definida,No aplica a privados,Privada,Cusco,La Convención,Echarate
Las Malvinas,Helipuerto de superficie,SPHM,Operativo,Pluspetrol Perú Corporation S.A.,-11.85341944,-72.94184167,Sin escala definida,No aplica a privados,Privada,Cusco,La Convención,Echarate
Las Palmas,Aeródromo,SPLP,Operativo,Base Aérea Las Palmas,-12.160125,-76.998778,Sin escala definida,No aplica a privados,Pública,Lima,Lima,Santiago de Surco
Lib Mandi Metropolitano,Aeródromo,SPLX,Operativo,Master Business Aviation S.A.C.,-12.389,-76.75809444,Sin escala definida,No aplica a privados,Privada,Lima,Cañete,Chilca
Mapi,Helipuerto de superficie,SPMP,Operativo,Repsol Exploración Perú S.A. Sucursal del Perú,-11.432144,-73.573103,Sin escala definida,No aplica a privados,Privada,Junín,Satipo,Río Tambo
Maria Reiche,Helipuerto de superficie,SPMA,Operativo,Helinka S.A.C.,-14.681833,-75.134194,Sin escala definida,No aplica a privados,Privada,Ica,Nasca,El Ingenio
Mashira,Helipuerto de superficie,SPMH,Operativo,Repsol Exploración Perú S.A. Sucursal del Perú,-11.381528,-73.504972,Sin escala definida,No aplica a privados,Privada,Junín,Satipo,Rio Tambo
May. PNP. Nancy Flores Paucar,Aeródromo,SPMF,Operativo,CORPAC S.A.,-11.325517,-74.535828,Regional,Regional,Pública,Junín,Satipo,Mazamari
Mipaya,Helipuerto de superficie,SPPM,Operativo,Pluspetrol Perú Corporation S.A.,-11.57952778,-73.16613889,Sin escala definida,No aplica a privados,Privada,Cusco,La Convención,Echarate
Mollendo,Aeródromo,SPDO,Operativo,Municipalidad Provincial de Islay,-17.04411667,-71.984575,Local,Local,Pública,Arequipa,Islay,Mollendo
Moquegua,Aeródromo,SPEQ,Operativo,CORPAC S.A.,-17.18,-70.93147222,Sin escala definida,Sin jerarquía definida,Pública,Moquegua,Moquegua,Mariscal Nieto
Maria Reiche Neuman,Aeródromo,SPZA,Operativo,CORPAC S.A.,-14.854139,-74.961775,Local,Local,Pública,Ica,Nasca,Vista Alegre
Nuevo Mundo,Aeródromo,SPNM,Operativo,Repsol Exploración Perú S.A. Sucursal del Perú,-11.54235833,-73.14234444,Sin escala definida,No aplica a privados,Privada,Cusco,La Convención,Echarate
Orcopampa,Aeródromo,SPOR,Operativo,Compañía de Minas Buenaventura S.A.A.,-15.314889,-72.352,Sin escala definida,No aplica a privados,Privada,Arequipa,Castilla,Orcopampa
Orellana,Aeródromo,SPON,Operativo,Municipalidad Distrital de Vargas Guerra,-6.896414,-75.152586,Local,Local,Pública,Loreto,Ucayali,Vargas Guerra
Pagoreni A,Helipuerto de superficie,SPPG,Operativo,Pluspetrol Perú Corporation S.A.,-11.717361,-72.901139,Sin escala definida,No aplica a privados,Privada,Cusco,La Convención,Echarate
Pagoreni B,Helipuerto de superficie,SPPI,Operativo,Pluspetrol Perú Corporation S.A.,-11.691861,-72.950611,Sin escala definida,No aplica a privados,Privada,Cusco,La Convención,Echarate
Paititi,Aeródromo,SPPT,Operativo,Comunidad Paititi,-10.083333,-72.883333,Local,Sin jerarquía definida,Pública,Ucayali,Atalaya,Yurua
Palmapampa,Aeródromo,SPPE,Operativo,Policía Nacional del Perú,-12.7641433,-73.6533141,Sin escala definida,Sin jerarquía definida,Pública,Ayacucho,La Mar,Samugari
Palmas del Espino,Aeródromo,SPPN,Operativo,Palmas del Espino S.A.,-8.343722,-76.489347,Sin escala definida,No aplica a privados,Privada,San Martín,Tocache,Uchiza
Pampa Hermosa,Aeródromo,SPPH,Operativo,CORPAC S.A.,-7.201069,-75.294042,Local,Local,Pública,Loreto,Ucayali,Pampa Hermosa
Pata de Gallo,Aeródromo,SPGA,Operativo,Minera Barrick Misquichilca S.A.,-7.983917,-78.269833,Sin escala definida,No aplica a privados,Privada,La Libertad,Santiago De Chuco,Quiruvilca
Patria,Aeródromo,SPIR,Operativo,CORPAC S.A.,-12.967303,-71.429122,Local,Local,Pública,Cusco,Paucartambo,Kosñipata
Pías,Aeródromo,SPIS,Operativo,Consorcio Minero Horizonte S.A.,-7.920222,-77.525389,Sin escala definida,No aplica a privados,Privada,La Libertad,Pataz,Pias
